,display_title,genre,MPAA_rating,distributor,production_budget,opening_weekend,domestic_total_gross,foreign_box_office,widest_release_theaters,release_date,close_date,in_release_days,in_release_weeks
0,#Horror,Horror,Unknown,IFC,,,,,"1,978",23-Jul-93,,,
1,$9.99 ,Animation,R,Regent Releasing,,"$4,891 ",,"$10,891,063 ","1,612",18-Dec-96,,,
2,$upercapitalist,Thriller,Unrated,Truly Indie,,"$11,749 ","$88,560 ","$82,600,000 ","2,838",18-Mar-11,7-Jul-11,112,16
3,(500) Days of Summer,Romance,PG-13,Fox Searchlight,"$7,500,000 ",,"$32,391,374 ",,9,2-Oct-13,30-Jan-14,93,13.3
4,(Untitled),Comedy,R,Samuel Goldwyn,,"$18,002 ","$230,600 ",,5,23-May-14,29-May-14,7,1
5,...And Justice for All,Drama,R,Columbia,,,"$33,300,000 ",,"1,980",18-Feb-94,,,
6,1 Mile Above,Foreign,Not Yet Rated,Asia Releasing,,,,,"1,981",31-Jul-92,,,
7,1+1=11,Unknown,Unrated,Eros,,"$2,386 ","$3,252 ","$54,462 ",71,18-Sep-09,1-Oct-09,14,2
8,"1,000 Rupee Note",Drama,Unrated,Kino Lorber,,"$14,257 ","$742,349 ","$435,290,784 ","3,773",7-Nov-14,28-May-15,203,29
9,"1,000 Times Good Night",Foreign,Unrated,Film Movement,,"$24,120 ","$53,895 ",,2,1-Nov-13,17-Nov-13,,
10,10,Romantic Comedy,R,Warner Bros.,,,"$74,865,517 ",,"1,984",4-Dec-92,,,
11,10 Cloverfield Lane,Thriller,PG-13,Paramount,,"$24,727,437 ","$72,082,998 ",,"1,432",29-Sep-95,,,
12,10 Days in a Madhouse,Drama,Unrated,Cafe Pictures,,"$5,487 ","$16,214 ","$1,505,170 ",126,12-Dec-03,16-Dec-03,5,0.7
13,10 Items or Less,Comedy,R,ThinkFilm,,"$6,354 ","$15,629 ","$236,085 ",1,2-Sep-11,22-Sep-11,21,3
14,10 Questions for the Dalai Lama,Documentary,Unrated,"Monterey Media, Inc.",,"$1,023 ","$15,549 ","$830,093 ",23,6-Aug-10,23-Dec-10,140,20
15,10 Rules for Sleeping Around,Comedy,R,Screen Media,,,,,"1,986",27-Aug-93,,,
16,10 Things I Hate About You,Romantic Comedy,PG-13,Buena Vista,"$30,000,000 ","$8,330,681 ","$38,178,166 ",,244,9-Mar-84,,,
17,10 to Midnight,Unknown,R,MGM,,"$3,050,225 ","$7,175,592 ",,4,27-Feb-04,,94,13.4
18,10 Years,Comedy / Drama,PG-13,Anchor Bay Films,,"$22,707 ","$203,373 ",,"1,608",23-Nov-05,29-Dec-05,37,5.3
19,"10,000 B.C.",Period Adventure,PG-13,Warner Bros.,"$105,000,000 ","$35,867,488 ","$94,784,201 ",,"1,465",8-Mar-96,,,
20,"10,000 Km",Comedy / Drama,R,Broad Green Pictures,,$914 ,"$1,344 ","$1,088,919 ","1,751",28-Jan-00,,,
21,100 Bloody Acres,Horror Comedy,Unrated,Doppelganger Releasing,,$788 ,"$7,650 ","$449,285 ",17,8-Jul-05,3-Nov-05,119,17
22,The 100-Year Old Man Who Climbed Out the Window and Disappeared,Foreign,R,Music Box Films,,,"$944,193 ",,1,24-Mar-00,30-Mar-00,7,1
23,1001 Grams,Drama,Unrated,Kino Lorber,"$8,000,000 ","$22,491 ","$106,404 ","$84,893,246 ","3,175",6-Feb-09,18-Jun-09,133,19
24,101 Dalmatians,Animation,G,Disney,,,"$14,000,000 ",,"1,987",12-Jun-98,,,
25,101 Dalmatians (1996),Family Comedy,G,Buena Vista,,"$33,504,025 ","$136,189,294 ",,962,8-Feb-08,28-Feb-08,21,3
26,101 Dalmatians (Re-issue) (1969),Animation,G,Disney,,,"$18,000,000 ",,"1,993",26-May-89,,,
27,101 Dalmatians (Re-issue) (1979),Animation,G,Disney,,,"$19,000,000 ",,"2,000",31-May-96,,,
28,101 Dalmatians (Re-issue) (1985),Animation,G,Buena Vista,,"$2,389,226 ","$33,049,729 ",,11,9-Dec-94,,,
29,101 Dalmatians (Re-issue) (1991),Animation,G,Buena Vista,,"$10,279,044 ","$60,830,285 ",,46,26-Sep-08,9-Oct-08,14,2
30,101 Reykjavik,Unknown,Unrated,Menemsha,,"$12,598 ","$100,841 ","$32,299,895 ","2,067",31-Jul-98,,,
31,102 Dalmatians,Family Comedy,G,Buena Vista,"$85,000,000 ","$19,883,351 ","$66,957,026 ",,731,22-Nov-85,,,
32,10th & Wolf,Crime Drama,R,ThinkFilm,,"$5,135 ","$29,337 ","$6,088,454 ",10,2-Dec-16,15-Dec-16,14,2
33,11 Flowers,Foreign,Unrated,First Run,,"$1,798 ",,"$42,479,361 ","2,762",25-Dec-03,1-Apr-04,99,14.1
34,11/11/2011,Horror,PG-13,Rocket Releasing,,"$1,938 ",,"$102,811 ",808,14-Feb-97,,,
35,11/8/2016,Documentary,Unrated,The Orchard,,,,,"2,001",20-Jun-03,24-Jul-03,35,5
36,The 11th Hour,Documentary,PG,Warner Independent,,"$60,853 ","$707,343 ",,1,1-Mar-13,6-Jun-13,35,5
37,11th Hour,Drama,Unrated,Brainstorm Media,,,,,"2,005",20-Jul-90,,,
38,12,Foreign,PG-13,Sony Classics,,"$17,234 ","$17,234 ","$9,405 ",1,28-Feb-07,15-Mar-07,16,2.3
39,12 Angry Men,Drama,Unrated,United Artists,,,,,"2,005",17-Jan-97,,,
40,12 Monkeys,Sci-Fi,R,Universal,,,"$57,141,459 ",,30,20-Oct-98,,,
41,12 O'Clock Boys,Documentary,Unrated,Oscilloscope Pictures,,"$3,775 ","$3,775 ",$421 ,2,9-May-08,5-Jun-08,28,4
42,12 Rounds,Action / Adventure,PG-13,Fox,,"$5,329,240 ","$12,234,694 ",,259,19-Apr-13,30-May-13,42,6
43,12 Strong,War Drama,R,Warner Bros.,,"$15,815,025 ",,,"1,080",25-Dec-92,,,
44,12 Years a Slave,Drama,R,Fox Searchlight,"$20,000,000 ",,"$56,671,993 ",,21,31-Mar-17,,151,21.6
45,12/12/2012,Concert,R,Weinstein Company,,,,,"2,006",2-Aug-96,,,
46,127 Hours,Drama,R,Fox Searchlight,"$18,000,000 ",,"$18,335,230 ",,7,16-Jun-06,21-Sep-06,98,14
47,12:08 East of Bucharest,Foreign,Unrated,Tartan,,,"$71,314 ","$12,557,740 ","2,666",27-Feb-15,11-Jun-15,,
48,13 Assassins,Foreign,R,Magnolia,,"$45,854 ","$802,778 ",,13,9-May-03,10-Jul-03,63,9
