display_title	opening_date	close_date	sentiment_score	 production_budget 	 limited_opening_weekend_total_gross 	 wide_release_opening_weekend_total_gross 	 domestic_total_gross 	 foreign_total_gross 	 worldwide_total_gross 	days_in_release	weeks_in_release	limited_release_theater	wide_release_theater	limited_release_dummy	wide_release_dummy	metacritic_score	user_score	 t1 	 t2 	 t3 	 t4 	 t5 	 t6 	 t7 	 t8 	 t9 	 t10 	 t11 
47 Meters Down	6/16/2017	10/19/2017	0.018362532	"5,500,000"		"11,205,561"	"44,307,192"		"44,307,192"				"2,471"	0	1	52	4.8											
A Bad Moms Christmas	11/1/2017	1/11/2018	0.004272824	"28,000,000"		"16,759,161"	"72,110,659"	"58,449,769"	"130,560,428"	72	10.3		"3,615"	0	1	42	4.5											
Alien: Covenant	5/19/2017	8/31/2017	0.980663995	"97,000,000"		"36,160,621"	"74,262,031"	"166,483,733"	"240,745,764"	105	15		"3,772"	0	1	65	5.9											
All Eyez on Me	6/16/2017	8/3/2017	0.366068591	"40,000,000"		"26,435,354"	"44,922,302"		"44,922,302"	49	7		"2,471"	0	1	38	4.3											
All the Money in the World	12/25/2017	3/4/2018	0.992951402			"5,584,684"	"25,076,259"	"28,800,000"	"53,876,259"	77	11		"2,123"	0	1	72	6.4	"7,127,696"	"9,454,213"	"5,244,151"	"1,903,031"	"576,816"	"324,548"	"195,989"	"92,130"	"59,691"	"44,820"	"14,467"
American Assassin	9/15/2017	11/9/2017	0.823880857	"33,000,000"		"14,846,778"	"36,249,674"	"30,426,388"	"66,676,062"	56	8		"3,154"	0	1	45	5.8											
American Made	9/29/2017	12/14/2017	0.302862015	"50,000,000"		"16,776,390"	"51,342,000"	"83,524,593"	"134,866,593"	77	11		"3,098"	0	1	65	6.9	"22,371,960"	"12,357,905"	"7,611,870"	"4,463,465"	"2,374,635"	"1,123,060"	"614,520"	"221,975"	"92,335"	"62,680"	"47,595"
Annabelle: Creation	8/11/2017	11/2/2017	0.360385033	"15,000,000"		"35,006,404"	"102,092,201"	"204,423,683"	"306,515,884"	85	12		3565	0	1	62	6.8											
Atomic Blonde	7/28/2017	10/5/2017	0.975085837	"30,000,000"		"18,286,420"	"51,687,870"	"44,100,000"	"95,787,870"	70	10		"3,326"	0	1	63	6.6											
Baby Driver	6/28/2017	10/19/2017	0.981442663	"34,000,000"		"20,553,320"	"107,825,862"	"119,119,225"	"226,945,087"	114	16.3		"3,226"	0	1	86	7.7											
Baywatch	5/25/2017	7/27/2017	0.190532135	"69,000,000"		"18,503,871"	"58,060,186"	"119,796,565"	"177,856,751"	64	9.1		"3,647"	0	1	37	4.5											
