"display_title" "opening_date" "publication_date" "url" "critics_pick" "review" "sentiment_score" "genre.x" "MPAA_rating" "distributor" "production_budget" "opening_weekend" "domestic_total_gross" "foreign_box_office" "widest_release_theaters" "release_date" "close_date" "in_release_days" "in_release_weeks"
"1" "11/8/2016" "11/1/2017" "11/2/2017" "http://www.nytimes.com/2017/11/02/movies/11-8-16-review.html" 0 "Spoiler alerts would be superfluous in a review of “11/8/16”: You already know the ending, and you’ve lived through the events. Nevertheless, this documentary generates ample tension as it views the last Election Day through the eyes of more than 16 people, following them during their mornings and afternoons then waiting with them for the results that night.
The diverse group includes Anthony, a former prisoner in Alabama, exonerated and voting for the first time in decades; Eric, a coal miner, and his family in West Virginia; Johnny, a union leader in Philadelphia; Calene, a mother of six in Utah who is supporting an independent presidential candidate; and others from California, Ohio and elsewhere.
We watch them at barber shops, playgrounds and dinner tables, and hear political opinions that seem prescient or misguided in retrospect. When the polls close, emotions roller coaster as the confident turn frustrated and the uncertain become enthusiastic. Many of these voters’ decisions are based on seemingly incomplete information and broad generalities. Some of their outlooks are naïve, others inspiring.
Eighteen directors are credited with the footage; Jeff Deutchman, who is listed as the curator, previously curated “11/4/08,” an examination of that Election Day. The editing here, by Jon Lefkovitz and Martha Shane, sets a speedy pace and keeps the focus on the voters rather than on Clinton and Trump, who are seldom seen.
Considering all that’s been written and said over the last year, there’s not much new to learn from “11/8/16.” But the film remains engaging for its stories, and is likely to be more instructive in the future, when passions have cooled. Judging by most people here, that won’t be soon." 0.988875393 "Documentary" "Unrated" "The Orchard" "" "" "" "" "2,001" "20-Jun-03" "24-Jul-03" "35" 5
"2" "13 Minutes" "6/30/2017" "6/29/2017" "http://www.nytimes.com/2017/06/29/movies/13-minutes-review.html" 0 "A charming hedonist becomes an unlikely would-be assassin in “13 Minutes,” a respectful but labored biopic of a village carpenter whose 1939 plot to blow up the Führer was foiled by bad timing.
Though ruthlessly romanticized and swimming in Holocaust-drama clichés — like the pallidly venomous Nazi interrogator — the story of how Georg Elser (an endearing Christian Friedel) transformed from mischievous ladies’ man to determined bomb maker is worth the telling. And for a while, it’s even quite gripping as we watch Elser painstakingly plant his intricate device in a vast beer hall in Munich where Hitler is to speak.
As directed by Oliver Hirschbiegel, however, Elser’s capture and lengthy questioning by the Gestapo is a wasted opportunity to illuminate the mind of a man whom historical accounts variously describe as apolitical yet deeply concerned with workers’ rights. Bucolic flashbacks to lakeside picnics, where ripe young women vie for Elser’s floppy-haired attentions and accordion serenades, reveal little about his beliefs or ambitions. Neither does his awkward incursion into the dismal marriage of his lover (Katharina Schüttler) and her sozzled husband.
As it happens, the movie’s most compelling interaction is between Elser and a cautious police chief played by the admirable Burghart Klaussner, who achieves more with pursed lips and lowered eyelids than most actors manage with a page of dialogue. It’s a performance that leaves space for nuanced interpretation — something that the rest of this overly conventional picture sorely lacks.
With a little more shading and originality, “13 Minutes” might have pushed beyond its familiar Nazi tropes to shape something more immediate and infinitely more potent: an ominous portrait of radicalization." 0.473756031 "Biography" "R" "Sony Classics" "" "$5,763 " "$11,562 " "$24,387 " "1" "21-Mar-08" "26-Jun-08" "42" 6
"3" "1945" "11/1/2017" "10/31/2017" "http://www.nytimes.com/2017/10/31/movies/1945-review-ferenc-torok.html" 0 "The men in hats arrive by train and slowly walk the dusty road toward the village, following the horse-drawn flatbed that carries their cargo. The stationmaster bicycles ahead of them to issue a warning at the watering hole; the residents begin to whisper. It’s the wedding day of the son of the town clerk, who doesn’t want any trouble with elections coming up. The wedding itself seems like a shaky affair, with an uneasy groom and a bride whose previous fiancé is still hovering.
Ferenc Torok’s lean, suggestive Hungarian feature, “1945,” shot in gorgeous, high-contrast black-and-white, is a Holocaust film built, consciously or not, on a reversal of the tropes of the western, down to ticking clocks that might as well be nearing high noon. The visiting men in black hats — a father (Ivan Angelus) and his adult son (Marcell Nagy) — aren’t villains out for revenge, but Orthodox Jews, who have come to the village at the end of the war. They are transporting trunks said to be filled with perfume or cosmetics. The purpose of their journey is obscure.
The two barely speak over the course of the film; the guilty villagers talk among themselves. “We have to give it all back,” the town drunk (Jozsef Szarvas) tells the clerk, Istvan (Peter Rudolf), believing that the strangers have a connection to the town’s deported Jews. Dismissing the concern, Istvan nevertheless understands that fear; he played a pivotal role in betraying the local Jews, a sin for which his opiate-addicted wife (Eszter Nagy-Kalozy) holds him in contempt. As the film slowly reveals how the village’s veneer of civility is built over a foundation of treachery, the darkened foregrounds suggest conspirators hiding in plain sight.
Absorbing and finely wrought, “1945” is not perfect. It oversimplifies Istvan’s motivation for issuing an accusation against a friend. The modernist-style score by Tibor Szemzo is more distracting than atmospheric, especially when it riffs on Max Bruch’s widely used composition for Kol Nidre, a Yom Kippur prayer that seems inappropriate for this particular context. And by design, the movie is something of a tease, more interested in setup than in payoff. The guilt that eats at these characters resists easy closure or absolution." 0.948856259 "Drama" "Unrated" "Menemsha" "" "$6,742 " "$35,397 " "$426,485 " "5" "24-Jun-05" "16-Feb-06" "210" 30
"4" "20th Century Women" "1/20/2017" "12/27/2016" "http://www.nytimes.com/2016/12/27/movies/review-20th-century-women.html" 1 "Love and loss go hand in hand in “20th Century Women,” a funny, emotionally piercing story about a teenager and the women who raise him. It opens in 1979, when cool kids danced to Talking Heads (“This ain’t no party, this ain’t no disco”) and President Carter bummed everyone out talking about our “crisis of confidence.” There’s something in the air — or so it seems, although the California light here tends to blot out the shadows. When a car bursts into flames soon after the movie opens, it looks about as threatening as an art installation. Apocalypse later, man.
The car belongs to Dorothea Fields — a thrilling Annette Bening — a divorced single mom with an only son, the teenage Jamie (Lucas Jade Zumann, in a heartbreakingly sincere turn). Mother and child live in Santa Barbara, that drowsy, well-heeled coastal city north of Los Angeles. There, Dorothea is raising Jamie in a roomy, stately 1905 fixer-upper that she’s renovating with the help of a boarder, William (Billy Crudup). Another lodger, an artist, Abbie (Greta Gerwig), helps keep their communal life jumping, as does Jamie’s friend Julie (Elle Fanning), who likes to cuddle platonically with him at night, sharing secrets as he tries to keep his hormones and body from betraying him.
The writer-director Mike Mills’s last movie, “Beginners,” was a lightly comic, fictionalized weepie about his father, who came out of the closet in his mid-70s when his son was an adult. Now Mr. Mills has turned to his mother, in another fictionalized story, moistened with tears, that draws on his life. This time, though, he has turned back the clock for a portrait of his mother as she was when he was a teenager and didn’t yet entirely grasp her extraordinariness. Whether she was as remarkable as the woman onscreen seems entirely beside the point — “20th Century Women” is a memory movie, one in which people are conjured up to bump against the larger world, exuberantly and uneasily.
The personal is the political, as second-wave feminists liked to say, and so it is in “20th Century Women.” The politics sneak up on you, filtered through the intimate lives of its electrically alive characters. Jamie is the story’s hub, the center from which everything and everyone ostensibly radiates, but Dorothea is its reason for being. She sets the pieces into place and motion; she’s the inspiration and guiding spirit, the story’s balm and soul. She’s also the one who, after Jamie lands in the hospital after a heart-leaping, foolish stunt, enlists Abbie and Julie to help raise Jamie. Dorothea’s a with-it mom, from tousled hair to Birkenstocked toe, but she’s also unsettled by the world.
